precisian,overly precise person; formalist  
ickle,little  
zappy,lively; entertaining  
knosp,unopened bud of a flower; ornament shaped like a bud  
keckle,to protect by binding with rope  
mulley,hornless  
xenomorphic,having a form not its own  
iatrochemistry,application of chemistry to medical theory  
duarchy,government by two people; diarchy  
ostreophagous,oyster-eating  
canticle,short holy song or sung prayer  
megascope,instrument for projecting an enlarged image  
entremets,edible pastry sculpture served between main courses  
anosmia,lack or loss of sense of smell  
millocracy,government by mill owners  
lotic,associated with or living in running water  
quab,something unfinished or immature; unfledged bird  
jack,medieval leather coat worn as armour  
vasotribe,instrument formerly used to stop bleeding  
anglophobia,fear of England or the English  
decennoval,of, like or pertaining to the number nineteen  
unconsentaneous,not in agreement  
chrematistic,of, like or pertaining to the pursuit of wealth or to business  
jumart,impossible mythical offspring of a cow and donkey  
hypobole,anticipating and refuting objections to an argument  
acrophonic,using a symbol for the initial sound of a thing  
yate,species of eucalyptus tree with strong wood  
theocentrism,belief that God is central fact of existence  
kincob,embroidered silk with gold and silver threads  
quadragenarian,a person between 40 and 49 years of age  
scopic,visual  
alpenglow,reddish glow appearing at sunrise or sunset in mountains  
halfpace,landing or broad step  
zanella,mixed twilled umbrella fabric  
lative,indicating motion up to or as far as  
chasmophile,lover of nooks and crannies  
umbe,around; about  
glaciology,study of ice ages and glaciation  
zoochemistry,chemistry of animals  
virtu,love or taste for fine art  
squinancy,quinsy  
amphibiolith,fossilized amphibian  
wayboard,thin geological seam separating larger strata  
whosoever,every one who  
volens,consenting to a course of action which requires risk  
nephelometer,instrument for measuring cloudiness  
vespertilionize,to turn into a bat  
epopoean,befitting an epic poet  
yuft,Russian leather  
snell,short line used to attach fish-hook to main fishing line  
awn,beard or similar bristly growth on stalk of grain  
fub,to put off; to fob  
wayboard,thin geological seam separating larger strata  
biocide,killing living material  
noumenalism,belief in existence of noumena  
olfactible,able to be smelled  
rerebrace,armour for the upper arm  
yon,yonder; that over there; those over there  
jade,pitiful horse; a nag  
toile,plain or simple twilled fabric  
exode,farce or afterpiece  
tautomerism,possession of more than one structure by a substance  
pottle,unit of liquid measurement of two quarts, or one-half gallon  
Slavophile,one who admires the Slavs  
pyrrhuline,of, like or pertaining to bullfinches  
yon,yonder; that over there; those over there  
kelter,nonsense  
bardolatry,excessive devotion to or worship of Shakespeare  
faldstool,desk from which the Litany is read at church service  
quartering,sailing nearly before the wind  
yelek,outer garment worn by Turkish women  
orchidology,study of orchids  
demagogue,political agitator appealing to popular prejudices  
spoliative,serving to take away or diminish  
champerty,illegal contract to finance a lawsuit for a percentage fee  
mellivorous,honey-eating  
havier,castrated deer  
rutherford,unit of radioactive decay equal to 1 million disintegrations per second  
oncostman,mine worker paid by the day  
fossor,grave-digger  
presbyophrenia,female senility marked by loss of memory  
xanthodont,one with yellow teeth  
trigonometer,instrument for solving triangles  
gomphosis,growth of teeth into the bone cavity  
catasta,scaffold or stage for torture or selling slaves  
osteophyte,abnormal bony outgrowth  
ultramontane,south of the Alps; supporting the Pope  
parapraxis,blunder; error; mistake  
montre,visible pipes of an organ  
